Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\FYP_ECG_ACCEL_board\.\JLC_docs\ECG_ACC_CPL\Pick Place for ECG_ACCEL_Board(V1).csv

========================================================================================================================
File Design Information:

Date:       25/05/24
Time:       11:55
Revision:   e9986a7acd9c2c27ed76fa12e2bf277e006b67b6
Variant:    V1
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"U4","TopLayer","2.1041","6.3140","0"
"R12","TopLayer","4.7904","3.1568","0"
"R9","TopLayer","-2.8259","3.5617","180"
"R8","TopLayer","-2.8402","9.8511","180"
"R7","TopLayer","3.0480","13.2080","180"
"L3","TopLayer","5.4409","1.0184","0"
"C32","TopLayer","3.7390","9.7790","180"
"C31","TopLayer","0.0448","0.9841","0"
"C30","TopLayer","-1.0173","4.7359","90"
"C29","TopLayer","-0.5080","9.2710","0"
"C28","TopLayer","-2.8648","10.8427","0"
"C27","TopLayer","-2.8827","2.5645","0"
"C26","TopLayer","5.3340","7.8740","90"
"C25","TopLayer","0.1625","2.5546","90"
"C24","TopLayer","2.5737","2.6061","180"
"C23","TopLayer","6.3208","7.8862","90"
"C22","TopLayer","-0.8529","2.5517","90"
"C21","TopLayer","2.5648","1.6198","180"
"C20","TopLayer","7.4087","1.5211","270"
"C17","TopLayer","5.5035","2.0539","180"
"C16","TopLayer","-0.1270","11.0490","180"
"C15","TopLayer","-2.4449","12.9788","270"
"C14","TopLayer","-3.5567","12.9753","270"
"X1","TopLayer","17.8135","6.0922","0"
"U3","TopLayer","17.7536","2.4047","180"
"U1","TopLayer","10.8920","8.6579","270"
"R6","TopLayer","5.3544","13.3805","270"
"R5","TopLayer","3.0480","12.3190","180"
"R4","TopLayer","3.0480","14.0970","180"
"R3","TopLayer","7.4314","4.3783","90"
"R2","TopLayer","6.5424","4.3783","90"
"R1","TopLayer","6.2753","13.5046","270"
"L2","TopLayer","14.6670","13.1088","180"
"L1","TopLayer","10.7126","13.1567","270"
"C19","TopLayer","14.7320","1.7780","90"
"C18","TopLayer","20.7709","1.9478","270"
"C13","TopLayer","16.2560","13.5398","270"
"C12","TopLayer","13.1728","13.5772","270"
"C11","TopLayer","15.4423","11.3003","180"
"C10","TopLayer","9.7120","13.4640","90"
"C9","TopLayer","15.4336","10.2563","180"
"C8","TopLayer","8.6148","13.4872","270"
"C7","TopLayer","11.6890","13.1067","90"
"C6","TopLayer","7.5812","13.4774","270"
"C5","TopLayer","14.7120","7.6575","90"
"C4","TopLayer","15.0612","9.2357","180"
"C3","TopLayer","9.1336","4.3627","270"
"C2","TopLayer","10.1911","4.3521","90"
"C1","TopLayer","6.5006","10.2985","135"
