Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\FYP_PPG_board\.\JLC_docs\PPG_CPL\Pick Place for PPG_Board(V1).csv

========================================================================================================================
File Design Information:

Date:       25/05/24
Time:       12:33
Revision:   277dc956dd987e14d79ccdfe7c1c5bab1103b02a
Variant:    V1
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"R9","TopLayer","3.2903","4.6006","0"
"R8","TopLayer","1.3682","4.5398","0"
"C22","TopLayer","4.9987","0.8380","180"
"C21","TopLayer","1.0488","2.9343","90"
"C20","TopLayer","1.4008","5.4918","180"
"U5","TopLayer","3.5732","2.6632","180"
"X1","TopLayer","17.8135","6.0922","0"
"U3","TopLayer","17.7536","2.4047","180"
"U2","TopLayer","3.1463","8.9827","0"
"U1","TopLayer","10.8920","8.6579","270"
"R7","TopLayer","4.5720","5.4610","180"
"R6","TopLayer","5.3544","13.3805","270"
"R5","TopLayer","3.7660","13.0310","270"
"R4","TopLayer","2.4130","13.4620","270"
"R3","TopLayer","7.3298","5.4243","90"
"R2","TopLayer","6.4408","5.4243","90"
"R1","TopLayer","6.2753","13.5046","270"
"L2","TopLayer","14.6670","13.1088","180"
"L1","TopLayer","10.7140","12.9930","270"
"C19","TopLayer","14.7320","1.7780","90"
"C18","TopLayer","20.7709","1.9478","270"
"C15","TopLayer","5.7150","8.0010","270"
"C14","TopLayer","5.6651","10.3318","270"
"C13","TopLayer","16.2560","13.5398","270"
"C12","TopLayer","13.1728","13.5772","270"
"C11","TopLayer","15.4423","11.3003","180"
"C10","TopLayer","9.7120","13.4640","90"
"C9","TopLayer","15.4336","10.2563","180"
"C8","TopLayer","8.6148","13.4872","270"
"C7","TopLayer","11.6959","13.0187","90"
"C6","TopLayer","7.5812","13.4774","270"
"C5","TopLayer","14.7120","7.6575","90"
"C4","TopLayer","15.0612","9.2357","180"
"C3","TopLayer","8.4821","4.5641","270"
"C2","TopLayer","9.5396","4.5535","90"
"C1","TopLayer","7.3457","10.2812","90"
