Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\FYP_VOC_board\.\JLC_docs\VOC_CPL\Pick Place for VOC_Board(V1).csv

========================================================================================================================
File Design Information:

Date:       25/05/24
Time:       11:04
Revision:   e9f90121ddacde5a39061d13a1ce296fe9bdd7e2
Variant:    V1
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"R7","TopLayer","11.5736","4.5535","270"
"R5","TopLayer","6.6131","3.2878","180"
"R4","TopLayer","7.7765","2.2241","180"
"X1","TopLayer","17.8135","6.0922","0"
"U3","TopLayer","18.7138","2.4061","180"
"U1","TopLayer","10.8920","8.6579","270"
"R6","TopLayer","6.2230","11.0490","90"
"R3","TopLayer","5.8221","7.4984","270"
"R2","TopLayer","6.8014","7.8861","270"
"R1","TopLayer","6.2316","12.9247","270"
"L2","TopLayer","14.6670","13.1088","180"
"L1","TopLayer","10.7140","12.9930","270"
"C19","TopLayer","15.6922","1.7794","90"
"C18","TopLayer","21.7311","1.9492","270"
"C13","TopLayer","16.2560","13.5398","270"
"C12","TopLayer","13.1728","13.5772","270"
"C11","TopLayer","15.4423","11.3003","180"
"C10","TopLayer","9.7120","13.4640","90"
"C9","TopLayer","15.4336","10.2563","180"
"C8","TopLayer","8.6148","13.4872","270"
"C7","TopLayer","11.6959","13.0187","90"
"C6","TopLayer","7.5812","13.4774","270"
"C5","TopLayer","14.7120","7.6575","90"
"C4","TopLayer","15.0612","9.2357","180"
"C3","TopLayer","6.8843","6.0464","180"
"C2","TopLayer","8.8665","4.9229","0"
"C1","TopLayer","7.3457","10.2812","90"
