Program Time [s],data 0,data 1,data 2
527.458,49,209,387
527.468,49,194,-612
527.478,49,208,317
527.488,49,191,-554
527.499,49,211,28
527.509,49,191,-389
527.519,49,212,454
527.529,49,193,-446
527.539,49,211,342
527.549,49,195,279
527.559,49,214,-217
527.569,49,196,390
527.579,49,214,-428
527.589,49,195,271
527.599,49,209,-338
527.61,49,192,395
527.62,49,213,-722
527.63,49,191,477
527.64,49,211,-722
527.65,49,193,424
527.66,49,211,-605
527.67,49,193,459
527.68,49,217,-454
527.69,49,204,669
527.7,49,237,-417
527.71,49,209,606
527.72,49,210,-485
527.731,49,194,398
527.741,49,210,-734
527.751,49,197,502
527.761,49,211,-781
527.771,49,199,383
527.781,49,213,-497
527.791,49,193,363
527.801,49,214,-472
527.811,49,195,602
527.821,49,213,1
527.831,49,193,2416
527.841,49,217,497
527.851,49,198,408
527.861,49,216,-950
527.872,49,206,314
527.882,49,223,-676
527.892,49,212,435
527.902,49,226,-650
527.912,49,215,548
527.922,49,232,-769
527.932,49,222,615
527.942,49,234,-630
527.952,49,216,572
527.962,49,228,-798
527.972,49,210,679
527.982,49,223,-445
527.992,49,207,654
528.002,49,222,-245
528.013,49,203,1088
528.023,49,221,-104
528.033,49,204,1269
528.043,49,222,188
528.053,49,204,1556
528.063,49,222,508
528.073,49,207,1641
528.083,49,220,251
528.093,49,206,1225
528.103,49,221,-277
528.113,49,205,888
528.123,49,220,-471
528.133,49,204,712
528.143,49,218,-814
528.154,49,202,636
528.164,49,208,-524
528.174,49,203,711
528.184,49,205,-700
528.194,49,203,737
528.204,49,206,-641
528.214,49,199,579
528.224,49,205,-492
528.234,49,203,643
528.244,49,206,-724
528.254,49,205,556
528.264,49,214,-709
528.274,49,200,403
528.285,49,205,-679
528.295,49,198,470
528.305,49,200,-655
528.315,49,199,233
528.325,49,199,-659
528.335,49,200,304
528.345,49,199,-804
528.355,49,194,254
528.365,49,199,-587
528.375,49,196,195
528.385,49,197,-401
528.395,49,193,243
528.405,49,196,-724
528.416,49,203,290
528.426,49,199,-796
528.436,49,207,160
528.446,49,195,-799
528.456,49,196,134
528.466,49,205,-672
528.476,49,202,102
528.486,49,200,-996
528.496,40,199,151
528.506,40,199,-790
528.516,40,198,-130
528.526,40,198,-953
528.537,40,205,-374
528.547,40,197,-611
528.557,40,207,-234
528.567,40,198,-395
528.577,40,206,-415
528.587,40,199,-453
528.597,40,214,235
528.607,40,224,-58
528.617,40,224,-72
528.627,40,204,-266
528.637,40,197,-185
528.647,40,192,-331
528.658,40,204,-120
528.668,40,194,-505
528.678,40,201,-143
528.688,40,196,-235
528.698,40,203,-126
528.708,40,196,-466
528.718,40,199,-84
528.728,40,195,276
528.738,40,209,1411
528.748,40,195,842
528.759,40,207,-407
528.769,40,191,-576
528.779,40,208,-769
528.789,40,192,-98
528.799,40,215,-642
528.809,40,192,-229
528.819,40,211,-399
528.829,40,203,-421
528.839,40,218,-362
528.849,40,198,-569
528.859,40,218,-329
528.869,40,196,-131
528.881,40,207,-602
528.89,40,186,191
528.9,40,203,-389
528.91,40,185,273
528.92,40,202,-127
528.93,40,183,710
528.94,40,199,-304
528.95,40,182,443
528.96,40,200,413
528.97,40,185,907
528.98,40,203,188
528.99,40,183,824
529,40,202,-84
529.011,40,185,250
529.022,40,201,-559
529.031,40,186,39
529.041,40,196,-741
529.051,40,187,-9
529.061,40,203,-756
529.071,40,183,-344
529.081,40,201,-839
529.091,40,182,-205
529.101,40,201,-708
529.111,40,179,15
529.121,40,196,-822
529.132,40,183,246
529.142,40,202,-876
529.152,40,183,203
529.162,40,200,-751
529.172,40,183,-71
529.182,40,200,-672
529.192,40,185,372
529.202,40,198,-860
529.212,40,183,268
529.222,40,201,-898
529.232,40,183,286
529.242,40,200,-541
529.252,40,182,-55
529.263,40,202,-646
529.273,40,181,219
529.283,40,198,-721
529.293,40,182,471
529.303,40,200,-709
529.313,40,182,318
529.323,40,199,-547
529.333,40,181,157
529.343,40,201,-728
529.353,40,185,422
529.363,40,203,-730
529.374,40,189,413
529.384,40,199,-677
529.394,40,192,515
529.404,40,201,-862
529.417,40,184,390
529.427,40,188,-731
529.437,40,186,486
529.448,40,188,-740
529.458,40,195,343
529.468,40,186,-807
529.478,40,196,553
529.488,40,188,-480
529.498,40,206,494
529.508,40,215,-458
529.518,40,214,464
529.528,40,189,-497
529.538,40,191,572
529.548,40,179,-738
529.558,40,183,238
529.568,40,185,-524
529.579,40,196,-124
529.589,40,188,-288
529.599,40,198,-218
529.609,40,191,-234
529.619,40,202,-87
529.629,40,190,272
529.639,40,199,1453
529.649,40,190,985
529.659,40,200,-133
529.669,40,193,-507
529.679,40,202,-777
529.69,47,187,-488
529.7,47,203,-484
529.71,47,189,-355
529.72,47,209,-239
529.73,47,198,-165
529.74,47,211,133
529.75,47,200,46
529.76,47,209,87
529.77,47,196,-98
529.78,47,203,40
529.79,47,186,17
529.801,47,198,-160
529.811,47,178,440
529.821,47,196,-128
529.831,47,177,528
529.841,47,194,51
529.851,47,177,879
529.861,47,194,221
529.871,47,178,965
529.881,47,196,342
529.891,47,178,801
529.901,47,196,39
529.912,47,179,353
529.922,47,196,-713
529.932,47,178,-10
529.942,47,196,-692
529.952,47,180,-60
529.962,47,195,-973
529.972,47,178,-124
529.982,47,194,-899
529.992,47,177,-83
530.002,47,195,-706
530.012,47,176,118
530.022,47,194,-619
530.032,47,176,149
530.043,47,194,-777
530.053,47,175,333
530.063,47,191,-795
530.073,47,175,335
530.083,47,191,-475
530.093,47,175,264
530.103,47,192,-546
530.113,47,176,222
530.123,47,192,-504
530.133,47,175,307
530.143,47,192,-579
530.153,47,176,44
530.164,47,192,-794
530.174,47,174,414
530.184,47,192,-853
530.194,47,172,324
530.204,47,193,-840
530.214,47,177,158
530.224,47,194,-836
530.234,47,177,301
530.244,47,195,-729
530.254,47,175,237
530.264,47,191,-764
530.273,47,173,317
530.285,47,190,-722
530.295,47,178,358
530.305,47,190,-862
530.315,47,178,406
