Program Time [s],data 0,data 1,data 2
740.007,62,164,142
740.017,62,176,-275
740.027,62,164,148
740.037,62,177,-312
740.047,62,164,340
740.057,62,182,907
740.067,62,167,1835
740.077,62,179,808
740.087,62,166,34
740.096,62,183,-529
740.107,62,171,-239
740.117,62,185,-285
740.127,62,172,-74
740.137,62,194,-142
740.146,62,176,80
740.157,62,195,-164
740.167,62,181,136
740.177,62,195,563
740.187,62,169,-710
740.197,62,186,762
740.207,62,163,-517
740.217,62,180,745
740.227,62,160,-392
740.237,62,177,1058
740.247,62,156,-388
740.258,62,179,1109
740.267,62,161,-108
740.278,62,176,1560
740.288,62,159,149
740.297,62,174,1722
740.307,62,163,130
740.318,62,181,561
740.328,62,162,496
740.337,62,178,-66
740.348,62,163,111
740.357,62,177,-459
740.367,62,162,-128
740.377,62,180,-504
740.388,62,162,44
740.397,62,176,-581
740.408,62,164,-57
740.417,62,176,-637
740.428,62,162,-332
740.438,62,174,-388
740.448,62,162,112
740.457,62,180,-387
740.468,62,157,-58
740.477,62,180,-312
740.487,62,161,-101
740.498,62,176,-352
740.508,62,157,169
740.517,62,178,-359
740.528,62,157,-134
740.538,62,181,-233
740.548,62,163,23
740.558,62,176,-359
740.567,62,159,-28
740.578,62,177,-367
740.587,62,157,154
740.597,62,181,-609
740.608,62,160,260
740.617,62,177,-357
740.628,62,161,148
740.638,62,174,-584
740.648,62,160,256
740.657,62,179,-563
740.669,62,161,264
740.677,62,176,-163
740.688,62,158,-118
740.698,62,175,-465
740.707,62,161,199
740.718,62,175,-554
740.728,62,161,132
740.738,62,180,-314
740.748,62,162,138
740.758,62,181,-296
740.768,62,162,-437
740.778,62,180,-341
740.788,62,158,-165
740.798,62,178,-252
740.807,62,160,14
740.818,62,175,-426
740.828,62,158,28
740.838,62,176,-266
740.848,62,158,48
740.857,62,178,-276
740.868,62,160,327
740.878,62,190,-224
740.888,62,188,328
740.898,62,202,-223
740.907,62,168,83
740.918,62,177,314
740.927,62,154,-111
740.938,62,179,187
740.948,62,159,177
740.957,62,175,-16
740.968,62,162,18
740.978,62,179,89
740.987,62,159,47
740.998,62,176,193
741.008,62,164,628
741.017,62,182,1610
741.028,62,162,1928
741.038,62,185,873
741.047,62,159,-58
741.058,50,183,-327
741.068,50,170,72
741.077,50,185,-86
741.088,50,170,-388
741.097,50,190,-23
741.108,50,174,-271
741.118,50,195,114
741.128,50,176,-388
741.137,50,194,70
741.148,50,172,-207
741.158,50,186,224
741.168,50,164,2
741.178,50,178,94
741.188,50,160,-29
741.197,50,180,546
741.208,50,162,228
741.217,50,175,455
741.228,50,160,343
741.238,50,176,731
741.248,50,160,733
741.257,50,175,749
741.268,50,160,725
741.277,50,178,680
741.288,50,158,170
741.297,50,179,31
741.307,50,160,-191
741.317,50,178,-250
741.328,50,157,-475
741.337,50,178,-123
741.348,50,158,-388
741.357,50,178,-327
741.368,50,159,-374
741.378,50,178,-252
741.388,50,160,-471
741.398,50,176,-210
741.408,50,161,-278
741.417,50,177,-172
741.427,50,158,-212
741.438,50,177,-24
741.448,50,159,-184
741.457,50,172,-393
741.467,50,157,-221
741.477,50,176,-69
741.487,50,154,-232
741.497,50,167,-32
741.507,50,159,-6
741.517,50,170,-29
741.528,50,157,-112
741.538,50,169,-124
741.547,50,159,-255
741.557,50,170,-182
741.568,50,158,-16
741.577,50,170,-282
741.588,50,154,35
741.597,50,171,-336
741.607,50,159,230
741.617,50,169,-210
741.628,50,161,-289
741.638,50,166,-88
741.647,50,160,-113
741.657,50,172,-202
741.667,50,155,-149
741.677,50,171,34
741.687,50,159,-43
741.698,50,169,-217
741.707,50,160,-42
741.718,50,166,-422
741.728,50,160,10
741.738,50,166,-181
741.747,50,159,-90
741.757,50,173,100
741.767,50,162,-213
741.777,50,177,52
741.788,50,159,127
741.798,50,170,-150
741.808,50,157,52
741.818,50,170,107
741.827,50,160,-51
741.837,50,168,173
741.847,50,161,-218
741.857,50,169,218
741.867,50,156,-199
741.878,50,175,304
741.887,50,164,200
741.897,50,196,397
741.907,50,188,431
741.917,50,192,-12
741.927,50,160,17
741.938,50,171,65
741.947,50,156,8
741.957,50,172,-17
741.968,50,157,-492
741.977,50,173,251
741.987,50,158,-433
741.997,60,173,-8
742.007,60,160,-178
742.017,60,171,121
742.027,60,162,740
742.037,60,174,2290
742.048,60,163,1084
742.057,60,177,37
742.068,60,162,-622
742.077,60,179,-183
742.087,60,169,-684
742.097,60,182,120
742.107,60,170,-513
742.118,60,187,-18
742.128,60,173,-392
742.137,60,190,-7
742.148,60,175,-302
742.157,60,187,252
742.168,60,168,-348
742.179,60,182,551
742.188,60,164,-226
742.199,60,174,595
742.209,60,156,-259
742.218,60,177,979
742.228,60,158,-65
742.238,60,175,1287
742.248,60,158,46
742.258,60,172,1514
742.268,60,156,229
742.278,60,173,1350
742.288,60,158,123
742.298,60,171,1144
742.308,60,157,-196
742.318,60,174,-57
742.328,60,159,-120
742.338,60,173,-385
742.348,60,156,45
742.358,60,173,-266
742.368,60,158,-599
742.379,60,174,-355
742.388,60,159,-518
742.398,60,173,-205
742.409,60,158,-577
742.418,60,172,-121
742.428,60,157,-656
742.438,60,175,-183
742.449,60,156,-425
742.458,60,171,-153
742.468,60,155,-443
742.479,60,175,-256
742.488,60,157,-617
742.499,60,173,246
742.508,60,155,-560
742.518,60,178,-213
742.528,60,157,-400
742.538,60,174,-157
742.549,60,159,-428
742.558,60,175,-4
742.568,60,154,-499
742.578,60,172,-45
742.589,60,156,-410
742.598,60,175,-171
742.609,60,155,-306
742.618,60,174,6
742.629,60,157,-244
742.638,60,174,-167
