Program Time [s],data 0,data 1
4.32371,5032,3302
4.3637,5018,3306
4.40371,5018,3312
4.44363,5018,3319
4.48473,5020,3311
4.52469,5022,3313
4.56463,5021,3298
4.60548,5025,3298
4.64492,5018,3289
4.6857,5020,3292
4.72575,5007,3297
4.76568,5005,3299
4.80565,4999,3309
4.84768,5004,3307
4.88663,5006,3312
4.92666,5011,3302
4.96663,5020,3302
5.00663,5020,3289
5.04806,5021,3292
5.08763,5007,3290
5.1276,5002,3292
5.16767,4991,3299
5.20864,4997,3301
5.24865,4994,3306
5.28863,4999,3304
5.32861,5006,3302
5.36898,5012,3294
5.40961,5016,3288
5.44967,5001,3280
5.49013,4996,3284
5.52958,4981,3287
5.57059,4977,3287
5.61063,4967,3294
5.65061,4969,3291
5.69064,4972,3292
5.73085,4973,3283
5.77159,4984,3280
5.8119,4984,3276
5.85166,4981,3275
5.89261,4957,3270
5.93261,4954,3277
5.97286,4944,3283
6.01259,4926,3276
6.0528,4898,3268
6.09401,4897,3257
6.13361,4878,3246
6.17358,4827,3218
6.21381,4795,3208
6.25359,4773,3197
6.29462,4753,3198
6.33472,4729,3197
6.3746,4723,3203
6.41459,4705,3204
6.45561,4702,3198
6.49611,4697,3197
6.53559,4699,3185
6.57557,4698,3182
6.61562,4702,3175
6.65658,4704,3182
6.69658,4696,3185
6.73662,4690,3194
6.77655,4670,3190
6.81758,4653,3187
6.85761,4598,3168
6.89757,4497,3122
6.93793,4351,3067
6.97883,4190,2990
7.01861,4021,2929
7.05956,3854,2856
7.09858,3668,2789
7.13853,3478,2709
7.17957,3309,2642
7.21956,3186,2591
7.25956,3086,2549
7.29953,2975,2492
7.34056,2881,2435
7.38055,2783,2391
7.42053,2679,2346
7.46057,2592,2332
7.50159,2487,2296
7.54156,2394,2252
7.58199,2315,2219
7.62153,2274,2219
7.66149,2243,2220
7.70256,2256,2243
7.74249,2301,2298
7.78253,2359,2354
7.82252,2409,2424
7.86261,2406,2436
7.90352,2459,2482
7.94355,2803,2671
7.98354,3742,3663
8.02353,5849,5731
8.06456,13323,11358
8.10453,23302,17388
8.14449,22887,16113
8.18452,20811,13607
8.22551,20852,13203
8.26555,23682,15432
8.30555,27493,19145
8.34554,32672,23459
8.38556,38406,27736
8.42652,41151,29458
8.46655,308952,33202
8.50649,319530,40758
8.54649,590668,47123
8.58752,594320,311602
8.62752,597987,315453
8.66796,603821,323431
8.70751,872734,597439
8.74752,1.15088e+06,1.14396e+06
8.7885,1.69593e+06,1.6979e+06
8.82854,1.713e+06,1.98414e+06
8.86855,1.98204e+06,1.99422e+06
8.9085,1.98355e+06,1.9972e+06
8.94949,1.98411e+06,1.99814e+06
8.9898,1.98606e+06,2.26265e+06
9.02959,1.98865e+06,2.2667e+06
9.06951,1.99201e+06,2.27166e+06
9.10952,1.9963e+06,2.53972e+06
9.15047,2.26101e+06,2.54375e+06
9.19049,2.26239e+06,2.54579e+06
9.23048,2.26335e+06,2.54702e+06
9.27049,2.26378e+06,2.54758e+06
9.31149,2.26476e+06,2.5487e+06
9.35157,2.26537e+06,2.54924e+06
9.39173,2.26579e+06,2.54956e+06
9.43154,2.26605e+06,2.54971e+06
9.47277,2.26623e+06,2.54988e+06
9.51251,2.26638e+06,2.55008e+06
9.55272,2.26536e+06,2.54971e+06
9.59271,2.26482e+06,2.54948e+06
9.63255,2.26487e+06,2.54963e+06
9.67361,2.26488e+06,2.54979e+06
9.71349,2.26478e+06,2.54987e+06
9.75359,2.2649e+06,2.55003e+06
9.79348,2.26496e+06,2.55015e+06
9.83444,2.26496e+06,2.55022e+06
9.87448,2.26486e+06,2.55022e+06
9.91445,2.26469e+06,2.55012e+06
9.95448,2.26472e+06,2.55013e+06
9.99445,2.2649e+06,2.55014e+06
10.0355,2.26504e+06,2.5501e+06
10.0755,2.26508e+06,2.55008e+06
10.1154,2.26508e+06,2.55009e+06
10.1554,2.265e+06,2.55009e+06
10.1965,2.26492e+06,2.55011e+06
10.2365,2.26488e+06,2.55014e+06
10.2764,2.26481e+06,2.55012e+06
10.3165,2.26498e+06,2.55024e+06
10.3565,2.26509e+06,2.55028e+06
10.3974,2.26503e+06,2.55028e+06
10.4375,2.26492e+06,2.55026e+06
10.4775,2.26487e+06,2.55029e+06
10.5174,2.26488e+06,2.55035e+06
10.5584,2.26494e+06,2.55044e+06
10.5984,2.26496e+06,2.55051e+06
10.6385,2.2649e+06,2.55049e+06
10.6784,2.26474e+06,2.55043e+06
10.7194,2.26466e+06,2.55039e+06
10.7595,2.26458e+06,2.55027e+06
10.7995,2.2645e+06,2.55015e+06
10.8398,2.26452e+06,2.55019e+06
10.8794,2.26451e+06,2.55022e+06
10.9204,2.26448e+06,2.55024e+06
10.9604,2.26443e+06,2.55024e+06
11.0004,2.26443e+06,2.55028e+06
11.0404,2.26446e+06,2.55033e+06
11.0818,2.26451e+06,2.55036e+06
11.1217,2.26448e+06,2.55036e+06
11.1615,2.26456e+06,2.55044e+06
11.2014,2.2646e+06,2.5505e+06
11.2414,2.26456e+06,2.55049e+06
11.2824,2.26456e+06,2.55052e+06
11.3224,2.26452e+06,2.55053e+06
11.3624,2.26449e+06,2.55053e+06
11.4025,2.26446e+06,2.55055e+06
11.4434,2.26447e+06,2.55058e+06
11.4834,2.26443e+06,2.55057e+06
11.5235,2.26435e+06,2.55053e+06
11.5634,2.26425e+06,2.55038e+06
11.6034,2.26424e+06,2.55028e+06
11.6444,2.26427e+06,2.5503e+06
11.6845,2.26426e+06,2.55032e+06
11.7244,2.26425e+06,2.55035e+06
11.7645,2.26421e+06,2.55035e+06
11.8054,2.2642e+06,2.55038e+06
11.8454,2.26419e+06,2.55038e+06
11.8854,2.26422e+06,2.5504e+06
11.9254,2.26424e+06,2.55044e+06
11.9664,2.26428e+06,2.55048e+06
12.0064,2.2643e+06,2.55053e+06
12.0464,2.26429e+06,2.55054e+06
12.0874,2.2643e+06,2.55058e+06
12.1267,2.26432e+06,2.55061e+06
12.1674,2.26434e+06,2.55064e+06
12.2074,2.26433e+06,2.55066e+06
12.2479,2.2643e+06,2.55064e+06
12.2873,2.26425e+06,2.55064e+06
12.3283,2.26425e+06,2.55065e+06
12.3685,2.26427e+06,2.55068e+06
12.4084,2.26422e+06,2.55055e+06
12.4484,2.26412e+06,2.55041e+06
12.4894,2.26413e+06,2.55042e+06
12.5304,2.26412e+06,2.55044e+06
12.5697,2.26409e+06,2.55045e+06
12.6094,2.2641e+06,2.55049e+06
12.6493,2.26406e+06,2.5505e+06
12.6903,2.26417e+06,2.55059e+06
12.7307,2.26418e+06,2.5506e+06
12.7703,2.26415e+06,2.55058e+06
12.8104,2.26412e+06,2.55058e+06
12.8504,2.26414e+06,2.55062e+06
12.8914,2.26414e+06,2.55066e+06
12.9314,2.26413e+06,2.55067e+06
12.9716,2.26413e+06,2.55069e+06
13.0114,2.2642e+06,2.55077e+06
13.0524,2.26424e+06,2.55081e+06
13.0924,2.26415e+06,2.55076e+06
13.1323,2.26412e+06,2.55075e+06
13.1737,2.26419e+06,2.55084e+06
13.2125,2.26442e+06,2.55097e+06
13.2533,2.26431e+06,2.55077e+06
13.2934,2.26422e+06,2.55058e+06
13.3334,2.26429e+06,2.55056e+06
13.3733,2.26432e+06,2.55054e+06
13.4144,2.2643e+06,2.55054e+06
13.4543,2.26429e+06,2.55057e+06
13.4943,2.26422e+06,2.55054e+06
13.5344,2.2643e+06,2.55063e+06
13.5743,2.26436e+06,2.55064e+06
13.6158,2.26425e+06,2.55056e+06
13.6554,2.26422e+06,2.55057e+06
13.6953,2.26432e+06,2.55068e+06
13.7354,2.2643e+06,2.55067e+06
13.777,2.26427e+06,2.55069e+06
13.8164,2.2643e+06,2.55075e+06
13.8563,2.26434e+06,2.55079e+06
13.8963,2.2643e+06,2.55079e+06
13.9373,2.2643e+06,2.55081e+06
13.9773,2.26433e+06,2.55085e+06
14.0174,2.26432e+06,2.55086e+06
14.0577,2.26432e+06,2.55089e+06
14.0973,2.26429e+06,2.55084e+06
14.1383,2.26426e+06,2.55072e+06
14.1786,2.26428e+06,2.55066e+06
14.2184,2.26422e+06,2.55062e+06
14.2587,2.26425e+06,2.5507e+06
14.2993,2.26426e+06,2.55074e+06
14.3399,2.26426e+06,2.55078e+06
14.3793,2.26426e+06,2.5508e+06
14.4193,2.26428e+06,2.55083e+06
14.4593,2.26423e+06,2.55078e+06
14.5006,2.2642e+06,2.55079e+06
14.5406,2.26419e+06,2.55082e+06
14.5803,2.2642e+06,2.55087e+06
14.6205,2.26429e+06,2.55097e+06
14.6619,2.26432e+06,2.551e+06
14.7015,2.26431e+06,2.55102e+06
14.7413,2.26433e+06,2.55104e+06
14.7813,2.26436e+06,2.55108e+06
14.8213,2.26434e+06,2.55107e+06
14.8626,2.26433e+06,2.55109e+06
14.9022,2.26437e+06,2.55114e+06
14.9423,2.26438e+06,2.55114e+06
14.9823,2.26428e+06,2.551e+06
15.0233,2.26426e+06,2.5509e+06
15.0633,2.26432e+06,2.55092e+06
15.1043,2.26431e+06,2.55093e+06
15.1433,2.2643e+06,2.55095e+06
15.1833,2.26425e+06,2.55094e+06
15.2243,2.26424e+06,2.55096e+06
15.2643,2.26423e+06,2.55098e+06
15.3042,2.26429e+06,2.55102e+06
15.3443,2.26425e+06,2.55099e+06
15.3852,2.26423e+06,2.55099e+06
15.4253,2.26423e+06,2.55102e+06
15.4653,2.26429e+06,2.55108e+06
15.5053,2.26427e+06,2.55108e+06
15.5453,2.26424e+06,2.55108e+06
15.5862,2.2643e+06,2.55114e+06
15.6262,2.26427e+06,2.55113e+06
15.6662,2.26426e+06,2.55114e+06
15.7062,2.26423e+06,2.55115e+06
15.7472,2.26424e+06,2.55117e+06
15.7873,2.26416e+06,2.55114e+06
15.8272,2.26417e+06,2.55119e+06
15.8677,2.26424e+06,2.55125e+06
15.9072,2.26416e+06,2.55113e+06
15.9482,2.26412e+06,2.551e+06
15.9882,2.26414e+06,2.55097e+06
16.0286,2.26417e+06,2.55101e+06
16.0683,2.26415e+06,2.55102e+06
16.1095,2.26414e+06,2.55104e+06
16.1493,2.26418e+06,2.55109e+06
16.1895,2.2642e+06,2.55111e+06
16.2292,2.26424e+06,2.55114e+06
16.2702,2.26423e+06,2.55112e+06
16.3102,2.26424e+06,2.55114e+06
16.3502,2.26425e+06,2.55116e+06
16.3902,2.26431e+06,2.55122e+06
16.4302,2.26432e+06,2.55123e+06
16.4715,2.26434e+06,2.55126e+06
16.5112,2.26432e+06,2.55126e+06
16.5512,2.26429e+06,2.55126e+06
16.5912,2.26429e+06,2.55127e+06
16.6323,2.26428e+06,2.55128e+06
16.6726,2.26428e+06,2.5513e+06
16.7122,2.26426e+06,2.55129e+06
16.7532,2.26418e+06,2.55126e+06
16.7932,2.26413e+06,2.55125e+06
16.8332,2.26419e+06,2.55133e+06
16.8738,2.26409e+06,2.55119e+06
16.9132,2.26403e+06,2.55106e+06
16.9532,2.26406e+06,2.55104e+06
16.9942,2.2641e+06,2.55107e+06
17.0342,2.26405e+06,2.55107e+06
17.0742,2.26407e+06,2.55111e+06
17.1142,2.26401e+06,2.5511e+06
17.1551,2.264e+06,2.5511e+06
17.1952,2.26401e+06,2.55113e+06
17.2352,2.264e+06,2.55111e+06
17.2752,2.26396e+06,2.5511e+06
17.3162,2.26403e+06,2.55118e+06
17.3562,2.26403e+06,2.5512e+06
17.3962,2.26406e+06,2.55125e+06
17.4362,2.2641e+06,2.55129e+06
17.4762,2.26409e+06,2.55129e+06
17.5171,2.26411e+06,2.55132e+06
17.5582,2.26411e+06,2.55132e+06
17.5972,2.26411e+06,2.55134e+06
17.6372,2.26407e+06,2.55133e+06
17.6782,2.26407e+06,2.55134e+06
17.7181,2.26412e+06,2.5514e+06
17.7582,2.26412e+06,2.55139e+06
17.7981,2.26402e+06,2.55125e+06
17.8391,2.26398e+06,2.55113e+06
17.8792,2.26396e+06,2.55112e+06
17.9194,2.26398e+06,2.55116e+06
17.9591,2.26398e+06,2.55121e+06
17.9991,2.26398e+06,2.55124e+06
18.0411,2.26404e+06,2.55131e+06
18.0801,2.26412e+06,2.55136e+06
18.1201,2.26409e+06,2.55133e+06
18.1602,2.2641e+06,2.55134e+06
18.2011,2.26414e+06,2.55138e+06
