Program Time [s],data 0,data 1
64.1433,2.26128e+06,2.55075e+06
64.1833,2.26127e+06,2.55075e+06
64.2235,2.26128e+06,2.55079e+06
64.2633,2.2613e+06,2.55082e+06
64.3044,2.2613e+06,2.55084e+06
64.3443,2.2613e+06,2.55087e+06
64.3843,2.2613e+06,2.55086e+06
64.4244,2.26132e+06,2.55086e+06
64.4643,2.26132e+06,2.55086e+06
64.5053,2.26134e+06,2.55089e+06
64.5453,2.26134e+06,2.55091e+06
64.5852,2.26135e+06,2.55094e+06
64.6257,2.26134e+06,2.55094e+06
64.6663,2.26133e+06,2.55095e+06
64.7063,2.26133e+06,2.55097e+06
64.7465,2.26133e+06,2.55096e+06
64.7863,2.2613e+06,2.55097e+06
64.828,2.2613e+06,2.55096e+06
64.8672,2.26127e+06,2.55097e+06
64.9072,2.26127e+06,2.55097e+06
64.9473,2.26124e+06,2.55097e+06
64.9881,2.26122e+06,2.55088e+06
65.0283,2.26119e+06,2.55074e+06
65.0682,2.26117e+06,2.55069e+06
65.1086,2.26117e+06,2.55073e+06
65.1483,2.26117e+06,2.55076e+06
65.1894,2.26119e+06,2.5508e+06
65.2302,2.26119e+06,2.55082e+06
65.2696,2.26119e+06,2.55084e+06
65.3092,2.26119e+06,2.55082e+06
65.3502,2.2612e+06,2.55082e+06
65.3902,2.26119e+06,2.55084e+06
65.4303,2.26122e+06,2.55086e+06
65.4702,2.2612e+06,2.55088e+06
65.5113,2.2612e+06,2.55089e+06
65.5512,2.2612e+06,2.55091e+06
65.5912,2.2612e+06,2.55093e+06
65.6312,2.26122e+06,2.55095e+06
65.6712,2.26122e+06,2.55095e+06
65.7122,2.26125e+06,2.55098e+06
65.7522,2.26124e+06,2.55098e+06
65.7922,2.26125e+06,2.55101e+06
65.8323,2.26126e+06,2.55103e+06
65.874,2.26126e+06,2.55104e+06
65.9133,2.26125e+06,2.55102e+06
65.9532,2.26122e+06,2.5509e+06
65.9932,2.26118e+06,2.55077e+06
66.0342,2.26119e+06,2.55076e+06
66.0742,2.26118e+06,2.55082e+06
66.1143,2.26121e+06,2.55086e+06
66.1542,2.26121e+06,2.55089e+06
66.1953,2.26121e+06,2.55091e+06
66.2352,2.26121e+06,2.5509e+06
66.2752,2.26122e+06,2.55088e+06
66.3153,2.26121e+06,2.5509e+06
66.3562,2.26122e+06,2.5509e+06
66.3962,2.26124e+06,2.55093e+06
66.4362,2.26123e+06,2.55095e+06
66.4762,2.26124e+06,2.55097e+06
66.5161,2.26121e+06,2.55096e+06
66.5572,2.26118e+06,2.55098e+06
66.5973,2.26117e+06,2.55098e+06
66.6372,2.26118e+06,2.55099e+06
66.6772,2.26118e+06,2.55102e+06
66.7182,2.2612e+06,2.55103e+06
66.7586,2.26118e+06,2.55103e+06
66.7982,2.26117e+06,2.55099e+06
66.8382,2.26112e+06,2.55083e+06
66.8792,2.26109e+06,2.55076e+06
66.9192,2.2611e+06,2.5508e+06
66.9597,2.26111e+06,2.55085e+06
66.9993,2.26114e+06,2.55089e+06
67.0391,2.26114e+06,2.55092e+06
67.0802,2.26114e+06,2.55092e+06
67.1202,2.26113e+06,2.55089e+06
67.1606,2.26113e+06,2.55089e+06
67.2002,2.26115e+06,2.5509e+06
67.2412,2.26117e+06,2.55093e+06
67.2812,2.26118e+06,2.55094e+06
67.3211,2.26121e+06,2.55097e+06
67.3611,2.26119e+06,2.55098e+06
67.4021,2.2612e+06,2.55099e+06
67.4422,2.26119e+06,2.551e+06
67.4821,2.2612e+06,2.55101e+06
67.5222,2.26118e+06,2.55101e+06
67.5632,2.26119e+06,2.55102e+06
67.6031,2.26119e+06,2.55104e+06
67.6432,2.26116e+06,2.55102e+06
67.6831,2.26113e+06,2.55098e+06
67.7241,2.26108e+06,2.55082e+06
67.7642,2.26105e+06,2.55075e+06
67.8051,2.26106e+06,2.55077e+06
67.8451,2.26105e+06,2.5508e+06
67.8841,2.26107e+06,2.55083e+06
67.9257,2.26108e+06,2.55086e+06
67.9653,2.26107e+06,2.55088e+06
68.0051,2.26108e+06,2.55089e+06
68.0452,2.26109e+06,2.55088e+06
68.0861,2.2611e+06,2.5509e+06
68.1262,2.26111e+06,2.55091e+06
68.1661,2.26111e+06,2.55092e+06
68.2061,2.26112e+06,2.55094e+06
68.2472,2.26114e+06,2.55096e+06
68.2871,2.26114e+06,2.55098e+06
68.3272,2.26114e+06,2.55098e+06
68.3671,2.26114e+06,2.551e+06
68.4086,2.26111e+06,2.551e+06
68.4481,2.2611e+06,2.55101e+06
68.4886,2.26111e+06,2.55101e+06
68.5281,2.2611e+06,2.55104e+06
68.5681,2.2611e+06,2.55103e+06
68.6091,2.26108e+06,2.55092e+06
68.6492,2.26105e+06,2.55078e+06
68.6892,2.26103e+06,2.55078e+06
68.7291,2.26103e+06,2.55082e+06
68.7701,2.26106e+06,2.55087e+06
68.8101,2.26106e+06,2.5509e+06
68.8501,2.26106e+06,2.55092e+06
68.8901,2.26104e+06,2.5509e+06
68.9311,2.26106e+06,2.5509e+06
68.971,2.26105e+06,2.55091e+06
69.0121,2.26105e+06,2.55092e+06
69.052,2.26107e+06,2.55094e+06
69.0921,2.26109e+06,2.55097e+06
69.132,2.26111e+06,2.551e+06
69.1721,2.26115e+06,2.55102e+06
69.2121,2.26116e+06,2.55104e+06
69.2521,2.26118e+06,2.55106e+06
69.293,2.2612e+06,2.55108e+06
69.333,2.2612e+06,2.55109e+06
69.3731,2.26119e+06,2.5511e+06
69.4134,2.26119e+06,2.55109e+06
69.4541,2.26117e+06,2.55102e+06
69.4941,2.26112e+06,2.55087e+06
69.5341,2.26111e+06,2.55083e+06
69.5741,2.26111e+06,2.55087e+06
69.6151,2.26114e+06,2.55093e+06
69.655,2.26116e+06,2.55097e+06
69.6951,2.26116e+06,2.55099e+06
