Program Time [s],data 0,data 1
2.09035,1.99367e+06,2.54203e+06
2.13028,1.99367e+06,2.54206e+06
2.17027,1.99368e+06,2.54208e+06
2.21054,1.99369e+06,2.5421e+06
2.25037,1.9937e+06,2.54212e+06
2.29124,1.99371e+06,2.54216e+06
2.33131,1.99366e+06,2.54203e+06
2.37126,1.99357e+06,2.54174e+06
2.41149,1.99352e+06,2.54158e+06
2.45228,1.99353e+06,2.54158e+06
2.49226,1.99353e+06,2.54163e+06
2.53228,1.99356e+06,2.54168e+06
2.57257,1.99357e+06,2.54172e+06
2.61328,1.99358e+06,2.54173e+06
2.65325,1.99357e+06,2.54171e+06
2.69334,1.99357e+06,2.54171e+06
2.73335,1.99358e+06,2.54174e+06
2.77327,1.99359e+06,2.54177e+06
2.81425,1.99361e+06,2.54183e+06
2.85426,1.99362e+06,2.54186e+06
2.89429,1.99363e+06,2.5419e+06
2.93425,1.99365e+06,2.54193e+06
2.97527,1.99366e+06,2.54196e+06
3.01529,1.99365e+06,2.54199e+06
3.05527,1.99367e+06,2.54201e+06
3.09526,1.99367e+06,2.54204e+06
3.13627,1.99369e+06,2.54207e+06
3.17622,1.9937e+06,2.54212e+06
3.21627,1.99371e+06,2.54213e+06
3.25625,1.9937e+06,2.54208e+06
3.29625,1.9936e+06,2.54176e+06
3.33721,1.99352e+06,2.54146e+06
3.37726,1.99349e+06,2.54137e+06
3.41747,1.99352e+06,2.54143e+06
3.45726,1.99352e+06,2.54148e+06
3.49827,1.99354e+06,2.5415e+06
3.53872,1.99355e+06,2.54153e+06
3.5798,1.99355e+06,2.54152e+06
3.6183,1.99354e+06,2.54149e+06
3.65954,1.99356e+06,2.54152e+06
3.69937,1.99357e+06,2.54158e+06
3.73928,1.99359e+06,2.54164e+06
3.77978,1.99362e+06,2.54173e+06
3.81921,1.99364e+06,2.5418e+06
3.8608,1.99367e+06,2.54188e+06
3.90028,1.99367e+06,2.5419e+06
3.94023,1.99368e+06,2.54186e+06
3.98023,1.99366e+06,2.54183e+06
4.02189,1.99368e+06,2.54186e+06
4.06123,1.99368e+06,2.54189e+06
4.10129,1.99369e+06,2.54188e+06
4.14154,1.99369e+06,2.54186e+06
4.18233,1.99368e+06,2.54179e+06
4.22323,1.99361e+06,2.54157e+06
4.26219,1.99357e+06,2.54146e+06
4.30222,1.99362e+06,2.54165e+06
4.34223,1.99367e+06,2.54185e+06
4.38326,1.99371e+06,2.54197e+06
4.42322,1.99372e+06,2.54203e+06
4.46378,1.99374e+06,2.54206e+06
4.50418,1.99372e+06,2.54205e+06
4.54421,1.9937e+06,2.542e+06
4.58518,1.99369e+06,2.54199e+06
4.62421,1.99369e+06,2.54202e+06
4.66416,1.9937e+06,2.54207e+06
4.70419,1.9937e+06,2.5421e+06
4.74521,1.99371e+06,2.54214e+06
4.78519,1.99372e+06,2.54215e+06
4.82529,1.99372e+06,2.54218e+06
4.86537,1.99371e+06,2.54218e+06
4.90617,1.99372e+06,2.54218e+06
4.94615,1.99372e+06,2.54217e+06
4.98616,1.99373e+06,2.54214e+06
5.02618,1.9937e+06,2.54206e+06
5.06797,1.99364e+06,2.54182e+06
5.10789,1.99357e+06,2.54162e+06
5.14716,1.99356e+06,2.54156e+06
5.18718,1.99357e+06,2.54158e+06
5.22718,1.99358e+06,2.54161e+06
5.26815,1.9936e+06,2.54168e+06
5.30822,1.99361e+06,2.54169e+06
5.34818,1.99361e+06,2.54167e+06
5.38818,1.9936e+06,2.54166e+06
5.42917,1.99362e+06,2.54168e+06
5.46943,1.99362e+06,2.5417e+06
5.50915,1.99364e+06,2.54175e+06
5.54929,1.99364e+06,2.54179e+06
5.59059,1.99366e+06,2.54183e+06
5.63016,1.99367e+06,2.54186e+06
5.67013,1.99368e+06,2.54188e+06
5.71016,1.99368e+06,2.54191e+06
5.75115,1.99368e+06,2.54191e+06
5.79117,1.99369e+06,2.54194e+06
5.83114,1.9937e+06,2.54197e+06
5.87113,1.99371e+06,2.542e+06
5.91121,1.99371e+06,2.54199e+06
5.95215,1.99367e+06,2.54186e+06
5.99217,1.99358e+06,2.54159e+06
